,score
768,21.0
769,14.0
770,16.0
771,22.0
772,16.0
773,17.0
774,17.0
775,10.0
776,14.0
777,13.0
778,18.0
779,16.0
780,12.0
781,14.0
782,23.0
783,9.0
784,12.0
785,15.0
786,16.0
787,15.0
788,16.0
789,9.0
790,16.0
791,17.0
792,19.0
793,14.0
794,14.0
795,10.0
796,18.0
797,16.0
798,20.0
799,15.0
800,16.0
801,8.0
802,12.0
803,14.0
804,10.0
805,17.0
806,14.0
807,17.0
808,10.0
809,19.0
810,19.0
811,17.0
812,13.0
813,15.0
814,16.0
815,17.0
816,10.0
817,19.0
818,11.0
819,12.0
820,15.0
821,15.0
822,13.0
823,12.0
824,18.0
825,14.0
826,15.0
827,15.0
828,14.0
829,19.0
830,18.0
831,12.0
832,16.0
833,15.0
834,14.0
835,14.0
836,12.0
837,11.0
838,15.0
839,15.0
840,11.0
841,11.0
842,15.0
843,20.0
844,16.0
845,15.0
846,12.0
847,16.0
848,14.0
849,12.0
850,10.0
851,14.0
852,11.0
853,15.0
854,16.0
855,12.0
856,14.0
857,15.0
858,15.0
859,18.0
860,16.0
861,18.0
862,13.0
863,15.0
864,14.0
865,11.0
866,12.0
867,12.0
868,11.0
869,11.0
870,16.0
871,14.0
872,14.0
873,16.0
874,13.0
875,11.0
876,12.0
877,9.0
878,14.0
879,15.0
880,14.0
881,7.0
882,6.0
883,12.0
884,4.0
885,15.0
886,14.0
887,5.0
888,16.0
889,12.0
890,16.0
891,15.0
892,12.0
893,15.0
894,10.0
895,10.0
896,19.0
897,19.0
898,17.0
899,13.0
900,19.0
901,15.0
902,16.0
903,12.0
904,13.0
905,15.0
906,13.0
907,16.0
908,17.0
909,11.0
910,8.0
911,14.0
912,11.0
913,11.0
914,22.0
915,17.0
916,17.0
917,22.0
918,11.0
919,5.0
920,17.0
921,13.0
922,12.0
923,21.0
924,20.0
925,13.0
926,15.0
927,7.0
928,14.0
929,17.0
930,15.0
931,15.0
932,14.0
933,15.0
934,18.0
935,16.0
936,8.0
937,12.0
938,16.0
939,13.0
940,12.0
941,15.0
942,12.0
943,6.0
944,17.0
945,13.0
946,21.0
947,16.0
948,14.0
949,11.0
950,17.0
951,9.0
952,19.0
953,16.0
954,17.0
955,11.0
956,16.0
957,13.0
958,20.0
959,18.0
960,12.0
961,15.0
962,21.0
963,10.0
964,16.0
